观测日期,平均值项:X向累计位移量（顺、逆坡）(mm)
2019/10/10,18585.667
2019/10/11,18586.061
2019/10/12,18586.474
2019/10/13,18587.215
2019/10/14,18587.713
2019/10/15,18587.335
2019/10/16,18587.343
2019/10/17,18587.198
2019/10/18,18587.707
2019/10/19,18587.218
2019/10/20,18587.531
2019/10/21,18588.777
2019/10/22,18588.239
2019/10/23,18588.888
2019/10/24,18588.811
2019/10/25,18589.749
2019/10/26,18589.039
2019/10/27,18589.949
2019/10/28,18590.672
2019/10/29,18589.812
2019/10/30,18589.882
2019/10/31,18590.306
2019/11/1,18592.065
2019/11/2,18591.234
2019/11/3,18591.863
2019/11/4,18591.598
2019/11/5,18592.708
2019/11/6,18592.869
2019/11/7,18592.451
2019/11/8,18592.866
2019/11/9,18593.25
2019/11/10,18593.081
2019/11/11,18593.228
2019/11/12,18593.124
2019/11/13,18592.926
2019/11/14,18594.102
2019/11/15,18593.7745
2019/11/17,18594.479
2019/11/18,18594.769
2019/11/19,18595.535
2019/11/20,18594.955
2019/11/21,18595.118
2019/11/22,18595.538
2019/11/23,18595.798
2019/11/24,18595.942
2019/11/25,18596.601
2019/11/26,18595.908
2019/11/27,18596.415
2019/11/28,18597.123
2019/11/29,18596.688
2019/11/30,18596.977
2019/12/1,18596.957
2019/12/2,18597.194
2019/12/3,18597.567
2019/12/4,18597.314
2019/12/5,18598.226
2019/12/6,18597.852
2019/12/7,18599.487
2019/12/8,18598.249
2019/12/9,18599.163
2019/12/10,18599.082
2019/12/11,18598.691
2019/12/12,18600.022
2019/12/13,18599.582
2019/12/14,18600.179
2019/12/15,18600.874
2019/12/16,18600.373
2019/12/17,18600.618
2019/12/18,18600.55
2019/12/19,18600.819
2019/12/20,18601.278
2019/12/24,18602.309
2019/12/25,18602.396
2019/12/26,18602.531
2019/12/27,18602.759
2019/12/28,18602.345
2019/12/29,18603.149
2019/12/30,18602.694
2019/12/31,18603.465
2020/1/1,18603.254
2020/1/2,18603.137
2020/1/3,18603.534
2020/1/4,18604.303
2020/1/5,18604.298
2020/1/6,18604.112
2020/1/7,18605.37
2020/1/8,18604.887
2020/1/9,18604.572
2020/1/10,18605.474
2020/1/11,18604.827
2020/1/12,18605.157
2020/1/14,18606.743
2020/1/15,18605.944
2020/1/16,18606.723
2020/1/17,18606.605
2020/1/18,18607.103
2020/1/19,18607.355
2020/1/20,18607.109
2020/1/21,18607.133
2020/1/22,18606.997
2020/1/23,18607.938
2020/1/24,18608.322
2020/1/25,18608.599
2020/1/28,18608.446
2020/1/29,18609.092
2020/1/30,18609.196
2020/1/31,18609.872
2020/2/1,18610.137
2020/2/2,18609.866
2020/2/3,18610.552
2020/2/4,18611.098
2020/2/5,18609.991
2020/2/6,18611.282
2020/2/7,18611.015
2020/2/8,18611.441
2020/2/9,18611.632
2020/2/10,18613.302
2020/2/11,18612.151
2020/2/12,18611.488
2020/2/13,18611.435
2020/2/14,18611.433
2020/2/15,18611.884
2020/2/16,18612.575
2020/2/17,18612.99
2020/2/18,18612.332
2020/2/19,18613.11
2020/2/20,18612.522
2020/2/21,18613.262
2020/2/22,18612.865
2020/2/23,18613.607
2020/2/24,18613.482
2020/2/25,18613.531
2020/2/26,18613.367
2020/2/27,18613.53
2020/2/28,18614.338
